,poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud,zona
184,Bilbao,2006-10-25,16:19:00,Blanco,BI-604,3,3,ASUA,-2.948006,43.27291,19
185,,2006-10-25,09:16:18,Blanco,AP-68,6,6,ZARAGOZA,-2.89627,43.19152,27
186,Bilbao,2006-10-25,14:28:35,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
187,Santurtzi,2006-10-25,06:55:33,Blanco,N-644,131,131,Santurtzi,-3.047644,43.3378,16
188,Basauri,2006-10-24,22:37:10,Amarillo,A-8,111,111,IRUN,-2.88343,43.2309,3
189,Barakaldo,2006-10-24,23:15:33,Blanco,A-8,126,126,IRUN,-3.02248,43.30032,12
190,Bilbao,2006-10-24,23:15:33,Blanco,A-8,116,116,IRUN,-2.93579,43.24777,5
191,Arrankudiaga,2006-10-24,17:44:54,Blanco,AP-68,11,11,ZARAGOZA,-2.929267,43.15753,48
192,,2006-10-24,08:45:32,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311,48
193,Gees,2006-10-24,10:48:30,Blanco,BI-636,14,14,BILBAO,-3.033625,43.21482,42
194,Santurtzi,2006-10-24,09:57:55,Blanco,A-8,130,130,CANTABRIA,-3.055796,43.3228,4
195,Bilbao,2006-10-24,09:47:14,Blanco,BI-3717,0,0,ETXEBARRI,-2.88953,43.24708,17
196,Bilbao,2006-10-24,09:46:12,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
197,,2006-10-20,15:29:14,Blanco,AP-68,11,11,ZARAGOZA,-2.929267,43.15753,48
198,,2006-10-23,22:26:02,Blanco,A-8,129,131,CANTABRIA,-3.04802,43.31637,4
199,Bilbao,2006-10-23,23:06:23,Amarillo,A-8,117,116,IRUN,-2.94541,43.25161,6
200,Bilbao,2006-10-23,21:09:17,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
201,Bilbao,2006-10-23,14:54:37,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
202,Basauri,2006-10-22,22:25:22,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
203,Amorebieta-Etxano,2006-10-22,22:26:45,Blanco,A-8,100,100,IRUN,-2.75568,43.23077,10
204,Alonsotegi,2006-10-21,09:26:56,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
205,Galdakao,2006-10-21,08:37:57,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255,3
206,Amorebieta-Etxano,2006-10-21,08:23:41,Blanco,A-8,101,101,IRUN,-2.76907,43.23126,10
207,,2006-10-20,09:35:30,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
208,Derio,2006-10-20,02:52:44,Blanco,N-637,18,18,ERLETXE ( por PTE. RONTEGI),-2.89266,43.28633,15
209,Basauri,2006-10-19,23:30:00,Blanco,A-8,116,116,CANTABRIA,-2.93578,43.2479,5
210,,2006-10-19,07:25:18,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311,48
211,Barakaldo,2006-10-19,13:01:41,Blanco,A-8,124,124,CANTABRIA,-3.0047,43.28869,12
212,,2006-10-19,07:22:36,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
213,Barakaldo,2006-10-18,23:15:41,Blanco,A-8,121,121,IRUN,-2.977874,43.27453,7
214,Basauri,2006-10-18,21:18:06,Amarillo,A-8,113,111,IRUN,-2.90804,43.23352,24
215,,2006-10-18,07:09:24,Blanco,AP-68,5,4,BILBAO,-2.894915,43.19935,27
216,Arrankudiaga,2006-10-17,18:46:04,Blanco,AP-68,10,10,ZARAGOZA,-2.920465,43.1638,46
217,Bilbao,2006-10-18,10:49:46,Blanco,A-8,117,117,CANTABRIA,-2.94514,43.25163,6
218,Barakaldo,2006-10-17,22:53:12,Blanco,A-8,121,121,CANTABRIA,-2.978033,43.27476,7
219,Bilbao,2006-10-17,21:12:02,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
220,Gees,2006-10-17,12:24:36,Amarillo,BI-636,14,14,BILBAO,-3.033625,43.21482,42
221,,2006-10-17,09:24:42,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
222,Bilbao,2006-10-16,23:34:08,Blanco,A-8,120,120,CANTABRIA,-2.9675,43.27193,7
223,Bilbao,2006-10-16,21:20:38,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
224,Alonsotegi,2006-10-16,11:28:24,Negro,BI-636,9,9,BILBAO,-2.993629,43.24061,28
225,,2006-10-16,06:25:56,Blanco,AP-68,14,14,BILBAO,-2.93247,43.13451,48
226,Derio,2006-10-15,23:43:53,Blanco,N-633,10,10,AEROPUERTO DE LOIU,-2.88083,43.28849,15
227,Bilbao,2006-10-15,22:12:01,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
228,Basauri,2006-10-13,22:10:08,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
229,Basauri,2006-10-11,21:10:10,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
230,Leioa,2006-10-11,10:40:06,Blanco,N-637,16,16,CRUCES,-2.915619,43.28973,1
231,Arrigorriaga,2006-10-11,08:22:35,Blanco,AP-68,10,10,ZARAGOZA,-2.920465,43.1638,46
232,,2006-10-10,23:13:11,Blanco,N-637,15,15,ERLETXE ( por PTE. RONTEGI),-2.92609,43.28585,39
233,Barakaldo,2006-10-10,21:35:19,Blanco,A-8,122,122,IRUN,-2.98578,43.28167,7
234,Barakaldo,2006-10-10,10:34:21,Blanco,BI-637,16,16,KUKULARRA,-2.99885,43.35301,9
235,Bilbao,2006-10-10,08:16:21,Blanco,BI-636,6,4,BILBAO,-2.96896,43.25747,7
236,,2006-10-10,07:49:16,Blanco,AP-68,10,10,ZARAGOZA,-2.920465,43.1638,46
237,,2006-10-10,03:27:18,Blanco,N-644,129,129,Santurtzi,-3.050703,43.32296,4
238,Bilbao,2006-10-09,23:53:37,Blanco,BI-625,379,379,BILBAO,-2.90417,43.18222,46
239,,2006-10-09,22:06:18,Blanco,N-644,130,130,Bilbao,-3.04283,43.32948,16
240,Basauri,2006-10-09,21:12:33,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
241,Galdakao,2006-10-09,20:08:25,Blanco,N-637,28,28,ERLETXE ( por PTE. RONTEGI),-2.80231,43.23901,8
242,Arrigorriaga,2006-10-09,13:37:00,Blanco,AP-68,5,5,ZARAGOZA,-2.894917,43.19963,27
243,Bilbao,2006-10-08,23:59:13,Blanco,A-8,113,115,IRUN,-2.90804,43.23352,24
244,Galdakao,2006-10-08,19:38:45,Blanco,N-637,28,28,ERLETXE ( por PTE. RONTEGI),-2.80231,43.23901,8
245,Gees,2006-10-06,11:41:50,Amarillo,BI-636,15,15,BILBAO,-3.042234,43.20626,47
246,,2006-10-06,09:50:10,Blanco,BI-637,18,18,KUKULARRA,-3.00088,43.36999,9
247,,2006-10-06,09:10:11,Blanco,BI-636,6,5,BILBAO,-2.96896,43.25747,7
